Serial Number,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
291,674 - 1,COLOMBO,KOTIYAKUMBURA,1.0,1,76.6,2,153.2,2.41
292,674 - 3,AVISSAWELLA,KEGALLE,21.0,17,48.1,68,3270.8,1.66
293,677,COLOMBO,BULATHKOHUPITIYA,1.0,1,78.5,2,157.0,2.50
294,677 - 4,AVISSAWELLA,BULATHKOHUPITIYA,8.0,7,34.2,28,957.6,1.33
295,750 - 3,EMBILIPITIYA,HAMBANTOTA,1.0,1,56.0,4,224.0,1.50
296,825,DUTUWEWA,KANDY,1.0,1,126.9,2,253.8,4.50
297,835,TRINCOMALEE,ANURADHAPURA,1.0,1,113.5,2,227.0,3.41
298,842,PULMUDE,ANURADHAPURA,1.0,1,112.4,2,224.8,3.33
299,857,VAVUNIYA,ANURADHAPURA,10.0,10,61.9,36,2476.0,1.75
300,907,CHILAW,NEGOMBO,85.0,76,42.3,202,8544.6,1.50
301,909,AMPARA,MONARAGALA,1.0,1,84.2,8,336.8,2.75
302,929 - 1,ELIVILA,NEGAMBO,8.0,8,26.0,16,416.0,1.16
303,999-1,GIRIULLA,MIRIGAMA,1.0,1,12.2,8,48.8,0.33
